col0,elder_pop_2030_55_64,elder_pop_2030_65_74,elder_pop_2030_75_84,elder_pop_2030_85_and_over,elder_pop_2030_55_and_over
Central San Diego,26921,23203,13800,4993,68917
Mid-City,16453,12935,6193,1853,37434
Southeast San Diego,19974,17543,9030,2603,49150
East,65708,62759,37589,12939,178995
Alpine,2626,2879,1546,569,7620
El Cajon,15482,15705,9513,2967,43667
Harbison Crest,2485,2785,1694,593,7557
Jamul,4242,3605,1889,556,10292
La Mesa,7434,7961,5929,2644,23968
Laguna-Pine Valley,1119,1029,579,294,3021
Lakeside,7637,7785,4483,1380,21285
Lemon Grove,4002,3288,1996,524,9810
Mountain Empire,1167,1156,774,428,3525
Santee,8038,7414,4207,1425,21084
Spring Valley,11476,9152,4979,1559,27166
North Central,85326,88959,54137,18047,246469
Coastal,10101,12468,8495,3393,34457
Del Mar-Mira Mesa,28054,22173,10093,3109,63429
Elliott-Navajo,13151,16025,10474,2965,42615
Kearny Mesa,21023,23636,16124,4718,65501
Miramar,2,0,0,0,2
Peninsula,6925,7402,4952,2284,21563
University,6070,7255,3999,1578,18902
North Coastal,63589,60423,42110,15095,181217
Carlsbad,17066,18344,14840,5467,55717
Oceanside,18837,18330,12851,4161,54179
Pendleton,36,28,3,0,67
San Dieguito,16080,13870,7991,3254,41195
Vista,11570,9851,6425,2213,30059
North Inland,77688,73945,46380,19027,217040
Anza-Borrego Springs,797,1045,797,405,3044
Escondido,19108,17173,9371,3636,49288
Fallbrook,6562,7697,5141,1769,21169
North San Diego,15740,13588,8891,3909,42128
Palomar-Julian,1189,1563,1054,438,4244
Pauma,941,672,476,365,2454
Poway,13145,11758,6424,2328,33655
Ramona,5586,4785,2772,875,14018
San Marcos,10228,10166,7760,3875,32029
Valley Center,4392,5498,3694,1427,15011
South,67784,58601,31917,9491,167793
Chula Vista,12759,12415,8078,2759,36011
Coronado,2193,3225,2132,1037,8587
National City,6335,5575,3561,857,16328
South Bay,22118,17950,9048,2370,51486
Sweetwater,24379,19436,9098,2468,55381
