region,adod_dischaarges_2012,adod_dischaarges_2020,adod_dischaarges_2030
Central San Diego,792,1268,1890
Mid-City,799,884,1007
Southeast San Diego,768,969,1293
East,4055,4786,6644
Alpine,117,147,228
El Cajon,1008,1134,1564
Harbison Crest,565,681,965
Jamul,100,151,290
La Mesa,958,1144,1509
Laguna-Pine Valley,5,8,12
Lakeside,260,340,491
Lemon Grove,282,291,383
Mountain Empire,43,55,86
Santee,324,437,607
Spring Valley,393,397,509
North Central,3278,4350,5926
Coastal,537,640,870
Del Mar-Mira Mesa,495,748,1073
Elliott-Navajo,579,713,985
Kearny Mesa,1076,1475,1978
Miramar,,0,0
Peninsula,285,380,528
University,305,394,491
North Coastal,3068,3655,4538
Carlsbad,782,1056,1418
Oceanside,1034,1277,1718
Pendleton,,0,0
San Dieguito,618,628,464
Vista,634,694,939
North Inland,3619,4352,5859
Anza-Borrego Springs,37,44,63
Escondido,1203,1314,1709
Fallbrook,318,341,494
North San Diego,848,1111,1447
Palomar-Julian,11,16,23
Pauma,14,24,37
Poway,426,487,649
Ramona,162,193,285
San Marcos,496,657,879
Valley Center,104,166,274
South,3039,3576,4753
Chula Vista,1212,1278,1636
Coronado,214,280,355
National City,579,625,786
South Bay,689,904,1273
Sweetwater,345,490,703
